tweet, sentiment
"CM @ncbn held a meeting with the Council of Ministers on Friday, where sanctioning of houses to working journalists was approved under NTR Urban Housing and BLC 2017.
",1
"Through the NTR Housing Scheme, government of AP is working towards constructing 19 Lac houses by 2019. We will ensure that shelter and a good lifestyle is provided to every citizen of the State. ",1
"Prioritising the welfare of the poor, AP govt has sanctioned 3 Lac houses with all facilities in the 2nd phase of the NTR housing scheme. ",1
అధికారం చేపట్టిన మరుక్షణం నుండి పేదల సంక్షేమం కోసం కృషి చేస్తూ.. పేదవాడి సొంతింటి కలను నిజం చేస్తూ.. రెండవ దశలో పథకాల వారీగా మేము పూర్తి చేసి అందజేసిన పక్కా ఇళ్లు. ,1
"టెక్నాలజీని సమర్ధవంతంగా ఉపయోగించుకుంటున్నాం. ప్రతికూల పరిస్థితుల్లో కూడా అత్యుత్తమ ఫలితాలు సాధించాము. నూరు శాతం గ్యాస్ కనెక్షన్లు ఇచ్చి, సంపూర్ణ ఓడీఎఫ్ సాధించాము. వీటితోపాటే నిర్దేశించుకున్న అన్ని లక్ష్యాలను సాధించేందుకు విభాగాధిపతులు, కార్యదర్శులు, కలెక్టర్లు మరింత కృషి చేయాలి. ",2
"Follow the link for live updates from the Video Conference with Secretaries, HODs &amp; Collectors.
",1
"ప్రజలందరూ ఎంతో ఆసక్తిగా ఎదురు చూస్తోన్న ప్రాజెక్టు విజయవాడ కనకదుర్గ ఫ్లై ఓవర్. ఇప్పటి వరకు 70% శాతం నిర్మాణం పూర్తయ్యింది.  సంక్రాంతి కల్లా ఫ్లై ఓవర్‌‌ను పూర్తి చేసి అందుబాటులోకి తీసుకొచ్చేలా చర్యలు చేపట్టాలని అదేశించాను.
",1
"Inaugurated 3 Lac houses under the NTR Housing Scheme at IGM Stadium, Vijayawada today. Houses with geo-tagging will provide shelter to the needy in Andhra Pradesh through this scheme. We aim at building 19 Lac houses with an investment of Rs. 50,000 Cr by the year 2019. ",1
"నేను కులాన్ని చూడలేదు.. ప్రాంతాన్ని, మతాలనూ చూడలేదు. పేదరికం మాత్రమే చూశాను. అందరి సహకారంతో ఓ టీమ్ లీడర్‌గా ఉండి ఏయే పనులు చేయాలన్నది నిర్ణయించి అమలు చేసే బాధ్యతను ఇచ్చాను. దాని ఫలితమే ఇప్పుడు లక్షలాది కళ్ళల్లో కనిపిస్తోన్న ఈ ఆనందం. ",2
"మేము నిర్మించిన 3 లక్షల ఇళ్లలో ప్రతి ఇంటి దగ్గరా రెండు మొక్కలు నాటాలని లక్ష్యాన్ని నిర్దేశించాం. ఇప్పుడు ఇళ్లల్లోకి వెళ్లిన లబ్దిదారుల్లో భార్య, భర్త ఇద్దరూ చెరొక మొక్క నాటాలి. ఆ మొక్కలను కూడా గృహ నిర్మాణ సంస్థ ఉచితంగా అందిస్తుంది. ",1
మీ అందరి మనసుల్లో ఆనందం నింపి రాష్ట్రంలో నూతన అధ్యాయానికి శ్రీకారం చుట్టిన ఆంధ్రప్రదేశ్ గృహ నిర్మాణ సంస్థ నేడు 40వ సంవత్సరంలోకి ప్రవేశిస్తోంది. ఈ సందర్భంగా సంస్థలో నాలుగు దశాబ్దాలుగా సేవలందిస్తున్న ప్రతి ఒక్కరినీ మనస్ఫూర్తిగా అభినందిస్తున్నాను. ,2
"గత ఏడాది 9,835 గ్రామాలు, 884 వార్డుల్లో సామూహిక గృహ ప్రవేశాలు జరిపాము. ఎక్కడా దాపరికం లేదు, అక్రమాలు లేవు. అంతా పారదర్శక విధానం పాటిస్తున్నాం. లబ్దిదారులందరి వివరాలు వెబ్‌సైట్‌లో నమోదు చేశాం. మొత్తం ఇళ్ల ఫొటోలన్నీ అప్‌లోడ్ చేయించాం. ఎవరైనా, ఎప్పుడైనా చెక్ చేసుకోవచ్చు. ",1
దేశంలో ఎప్పుడూ ఎక్కడా జరగని ఒక అపూర్వ ఘట్టానికి ఆంధ్రప్రదేశ్‌ వేదికగా నిలిచింది. ఒకే రోజు మూడు లక్షల గృహాలలో సంతోషాల వెలుగులు చూడటం నా జన్మకు సరిపడా సంతోషాన్ని అందించింది. ఇది పేదల ప్రభుత్వం అని చెప్పుకోవడానికి ఇంతకంటే తార్కాణమే లేదు. ,2
"Live from NTR Samuhika Gruha Pravesaalu launching from IGMS, Vijayawada, @krishnadgoap ",1
"లెఫ్టినెంట్ గవర్నర్ విధులపై సుప్రీం కోర్టు తీర్పు ఫెడరల్ స్ఫూర్తికి అద్దం పట్టింది. ప్రభుత్వ సలహా మేరకే లెఫ్టినెంట్ గవర్నర్ నిర్ణయాలు ఉండాలి, సఖ్యతతో పనిచేయాలి, స్వతంత్ర నిర్ణయాలు తీసుకోకూడదన్న తీర్పును స్వాగతిస్తున్నాం.",4
"విజయవాడ-హైదరాబాద్ జాతీయ రహదారిని అమరావతికి అనుసంధానం చేస్తూ కృష్ణానదిపై నిర్మించే డజనుకు పైగా వారధులు.. వాటిని రాజధానికే మకుటాయమానంగా తీర్దిదిద్దేలా పక్కా ప్రణాళికతో ముందుకెళ్తూ..  
",1
ప్రభుత్వ నిస్వార్థ పాలనకు నిదర్శనం కర్నూలు నగర శివారులో గల ఔటర్ రింగు రోడ్డు. ,2
"Inaugurated the Cancer Screening Bus today which will conduct medical tests in 9,930 villages. With medical support from @ManipalHealth, we will fight against cancer by using the latest technology for diagnosis of throat, uterus and breast cancer at an early stage. ",1
"భారత స్వాతంత్రోద్యమంలో బ్రిటీష్ పాలకులను గడగడలాడించిన మన్యం వీరుడు అల్లూరి సీతారామరాజు 121వ జయంతి సందర్భంగా ఘన నివాళులర్పిస్తున్నాం. ఆ మహోజ్వల శక్తి స్ఫూర్తిగా రాష్ట్ర ప్రయోజనాలు, ప్రత్యేక హోదా కోసం పోరాడతాం. ",1
"రాష్ట్రంలో పరిశ్రమల ఏర్పాటును ప్రోత్సహించేందుకు ఒక విజన్‌తో ముందుకెళ్తున్నాం. అగ్రగామిగా ఎదగడం, దశలవారీ అభివృద్ధితో 15% వృద్ధి రేటు సాధించటం మన లక్ష్యం. ఇందుకు పారిశ్రామిక వేత్తల మద్దతు, సహకారం కావాలి.
",1
TDP has conveniently forgotten what they had done in  past about ‘Spl category status.’ , 0
